instrumentID,eventTimestamp,orderID,orderType,eventType,side,price,stopPrice,lastPrice,quantity,leavesQuantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,parentOrderID,parentChildIndicator,timeInForce,orderCapacity,internalTimestamp,sendingTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,yield,qtyType,totalQty,minQty,secondaryDisplayQty,lastQty,ccy,ccyKey,val,displayMethod,execID,execType,eventType2,execRestatementReason,venueKey,venueSegment,venueType,orderPlatform,orderPlatformKey,sourceConnection,origOrderID,clOrdID,origClOrdID,quoteID,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntity,legalEntityKey,salesID,salesIDKey,userIDKey,counterParty,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,orderInstructions,expireDateTime,valueDate,peggedPrice,pegOffsetValue,pegInstruction,flag,validationKey,possDupFlag,userId,priceType,upstreamFileName,recordID,tenor,aggressorFlag,icebergFlag,upstreamRCAID,wtbFlag,midPD,loopFlag,localIOCFlag,tradeDate,pdFlag
XYZ,2016.04.25D09:59:30.000000000,ISL-OID0,SL,new,B,99.75,99.9,,125,125,,REF_FDTrader,FDBkr0,FDAccount0,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID0,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,125,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID3,843386990092 ZBM6,,,FDBkr0,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount0-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:00:00.000000000,ISL-OID1,SL,new,B,100,102,,1000,1000,,REF_FDTrader,FDBkr1,FDAccount1,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID1,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,1000,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,843386990092 ZBM6,,,FDBkr1,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount1-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:00:00.000000000,ISL-OID2,SL,new,B,100.2,100.5,,100,100,,REF_FDTrader,FDBkr2,FDAccount2,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID2,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID0,843386990092 ZBM6,,,FDBkr2,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount2-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:00:45.000000000,ISL-OID2,SL,filled,B,100.5,100.5,,100,-900,,REF_FDTrader,FDBkr2,FDAccount2,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID2,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,1000,,,1000,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID0,843386990092 ZBM6,,,FDBkr2,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount2-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:01:00.000000000,ISL-OID3,SL,new,B,100.5,100.75,,250,250,,REF_FDTrader,FDBkr3,FDAccount3,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID3,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,250,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID1,843386990092 ZBM6,,,FDBkr3,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount3-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:01:15.000000000,ISL-OID3,SL,filled,B,100.75,100.75,,250,0,,REF_FDTrader,FDBkr3,FDAccount3,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID3,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,250,,,250,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID1,843386990092 ZBM6,,,FDBkr3,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount3-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:01:30.000000000,ISL-OID4,SL,new,B,100.8,101,,50,50,,REF_FDTrader,FDBkr4,FDAccount4,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID4,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,50,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID2,843386990092 ZBM6,,,FDBkr4,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount4-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:01:45.000000000,ISL-OID0,SL,filled,B,99.95,99.9,,125,0,,REF_FDTrader,FDBkr0,FDAccount0,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID0,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,125,,,125,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID3,843386990092 ZBM6,,,FDBkr0,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount0-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:01:45.000000000,ISL-OID4,SL,filled,B,101.05,101,,50,0,,REF_FDTrader,FDBkr4,FDAccount4,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID4,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,50,,,50,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID2,843386990092 ZBM6,,,FDBkr4,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount4-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:01:50.000000000,ISL-OID5,SL,new,B,101.25,101.8,,500,500,,REF_FDTrader,FDBkr5,FDAccount5,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID5,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,500,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID4,843386990092 ZBM6,,,FDBkr5,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount5-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:02:05.000000000,ISL-OID5,SL,filled,B,101.9,101.8,,500,0,,REF_FDTrader,FDBkr5,FDAccount5,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID5,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,500,,,500,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID4,843386990092 ZBM6,,,FDBkr5,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount5-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:02:25.000000000,ISL-OID6A,SL,new,B,102.15,102.35,,150,150,,REF_FDTrader,FDBkr6,FDAccount6,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID6A,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,150,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID5,843386990092 ZBM6,,,FDBkr6,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount6-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:02:45.000000000,ISL-OID6A,SL,filled,B,102.32,102.35,,150,0,,REF_FDTrader,FDBkr6,FDAccount6,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID6A,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,150,,,150,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID5,843386990092 ZBM6,,,FDBkr6,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount6-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
XYZ,2016.04.25D10:03:00.000000000,ISL-OID1,SL,partiallyFilled,B,102.5,102,,1000,500,,REF_FDTrader,FDBkr1,FDAccount1,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,ISL-OID1,,GFD,agency,2018.10.25D01:40:32.187858000,,,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,,,500,,,500,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,tradeID6A,843386990092 ZBM6,,,FDBkr1,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount1-XYZ,10540,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
