instrumentID,eventTimestamp,orderID,orderType,eventType,side,price,stopPrice,lastPrice,quantity,leavesQuantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,parentOrderID,parentChildIndicator,timeInForce,orderCapacity,internalTimestamp,sendingTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,yield,qtyType,totalQty,minQty,secondaryDisplayQty,lastQty,ccy,ccyKey,val,displayMethod,execID,execType,eventType2,execRestatementReason,venueKey,venueSegment,venueType,orderPlatform,orderPlatformKey,sourceConnection,origOrderID,clOrdID,origClOrdID,quoteID,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntity,legalEntityKey,salesID,salesIDKey,userIDKey,counterParty,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,orderInstructions,expireDateTime,valueDate,peggedPrice,pegOffsetValue,pegInstruction,flag,validationKey,possDupFlag,userId,priceType,upstreamFileName,recordID,tenor,aggressorFlag,icebergFlag,upstreamRCAID,wtbFlag,midPD,loopFlag,localIOCFlag,tradeDate,pdFlag
HOR_sym,2015.04.21D11:32:49.008000000,BTM20160407/4444444,LMT,new,B,170.4,0,,100,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/2,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
HOR_sym,2015.04.21D12:32:50.003000000,BTM20160407/4444444,LMT,partiallyFilled,B,172.4,0,,100,0,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
HOR_sym,2015.04.21D12:32:50.003000000,BTM20160407/4444444,LMT,partiallyFilled,B,178.4,0,,100,-100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
HOR_sym,2015.04.21D12:32:52.003000000,BTM20160407/4444444,LMT,partiallyFilled,B,174.4,0,,100,-200,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
HOR_sym,2015.04.21D12:32:52.003000000,BTM20160407/4444444,LMT,partiallyFilled,B,183.4,0,,100,-300,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
HOR_sym,2015.04.21D12:32:54.003000000,BTM20160407/4444444,LMT,partiallyFilled,B,176.4,0,,100,-400,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
HOR_sym,2015.04.21D12:32:54.003000000,BTM20160407/4444444,LMT,partiallyFilled,B,187.4,0,,100,-500,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
HOR_sym,2015.04.21D12:32:56.003000000,BTM20160407/4444444,LMT,partiallyFilled,B,196.4,0,,100,-600,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
HOR_sym,2015.04.21D12:32:58.003000000,BTM20160407/4444444,LMT,filled,B,208.4,0,,100,-700,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,3333333,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,10540,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.04.21D10:30:49.008000000,BTM20160407/1111111,LMT,new,B,150.4,0,,100,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,1111111,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/2,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-USM6,10540,,,,,,,,,,,MSG:OrderId: 84338699990134526; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.04.21D10:30:50.003000000,BTM20160407/1111111,LMT,partiallyFilled,B,150.4,0,,100,0,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,1111111,,GFD,agency,2018.10.25D01:39:54.762092000,,,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,100,CCY1041,BBG_TRADEBOOK-USD,,,,restated,,tradeRestatement,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,3980/20160407/5775010/4,1123432111 ABC6,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-USM6,10540,,,,,,,,,,,MSG:OrderId: 84338699990134526; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
