instrumentID,eventTimestamp,executionID,eventType,orderID,side,price,strikePrice,quantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,tradeSystem,settlementDate,counterparty,underlyingInstrumentID,orderPlatform,tradePlatform,legalEntity,optionCallPut,internalTimestamp,sendingTime,tradeTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,multiLegReportingType,parentStrategyType,priceType,markup,markupRateToBase,val,qtyType,ccy,ccyKey,qty1,ccy1,ccy1Key,qty2,ccy2,ccy2Key,feeCcy,transStatus,reversalIndicator,internalTrade,matchType,trdType,crossType,secondaryTrdType,aggressorIndicator,venueKey,venueSegment,venueType,orderPlatformKey,tradingPlatformInstance,sourceConnection,tradeIDversion,secondaryTradeID,origTradeID,structureID,tradeLinkID,sourceTradeID,sourceTradeLinkID,platformTradeID,platformTradeLinkID,tradeDate,tradeInputDate,valueDate,settlType,settlMethod,quoteID,olink,qlink,udflink,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntityKey,salesID,salesIDKey,userIDKey,revUserID,revUserIDKey,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,payFrequency,receiveFrequency,payRollConvention,receiveRollConvention,payProjectionCurve,receiveProjectionCurve,payDiscountCurve,receiveDiscountCurve,payCalendar,receiveCalendar,payDayCountConvention,receiveDayCountConvention,couponRate,payCouponType,receiveCouponType,payType,calendarType,rateCode,rate,deliveryIndex,closingIndexValue,optionCallPut,optPayout,optPayoutType,capPrice,floorPrice,strikeMultiplier,strikePriceBoundaryMethod,complexEventType,complexEventPrice,complexEventCondition,complexOptPayoutAmount,complexEventStartDate,complexEventEndDate,quality,publicationIndicator,flag,validationKey,possDupFlag,origTransType,lastOperationSubType,underlyingKey,refObligation
XYZ,2016.04.25D10:00:45.000000000,tradeID0,new,ISL-OID2,B,100.5,0,1000,,REF_FDTrader,FDBkr2,FDAccount2,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,1,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr2,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount2-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:01:15.000000000,tradeID1,new,ISL-OID3,B,100.75,0,250,,REF_FDTrader,FDBkr3,FDAccount3,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,2,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr3,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount3-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:01:45.000000000,tradeID2,new,ISL-OID4,B,101.05,0,50,,REF_FDTrader,FDBkr4,FDAccount4,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,3,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr4,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount4-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:01:45.000000000,tradeID3,new,ISL-OID0,B,99.95,0,125,,REF_FDTrader,FDBkr0,FDAccount0,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,6,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr0,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount0-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:02:05.000000000,tradeID4,new,ISL-OID5,B,101.9,0,500,,REF_FDTrader,FDBkr5,FDAccount5,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,4,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr5,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount5-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:02:45.000000000,tradeID5,new,ISL-OID6A,B,102.32,0,150,,REF_FDTrader,FDBkr6,FDAccount6,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,5,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr6,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount6-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:03:00.000000000,tradeID6A,new,ISL-OID1,B,102.5,0,500,,REF_FDTrader,FDBkr1,FDAccount1,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,6,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr1,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount1-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:03:05.000000000,tradeID6B,new,ISL-OID1,B,102.45,0,500,,REF_FDTrader,FDBkr1,FDAccount1,,GCBOT,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,7,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr1,UBS,BBG_TRADEBOOK-FDTrader,GUI-FDTrader-FDAccount1-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:03:20.000000000,tradeID7,new,ISL-OID7,B,102.75,0,200,,REF_FDTrader1,FDBkr7,FDAccount,,GCBOX,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,8,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOX,GCBOX,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr7,UBS,BBG_TRADEBOOK-FDTrader1,GUI-FDTrader1-FDAccount-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:04:00.000000000,tradeID8,new,ISL-OID8,S,101.8,0,300,,REF_FDTrader2,FDBkr8,FDAccount,,GCBOX,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,9,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOX,GCBOX,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr8,UBS,BBG_TRADEBOOK-FDTrader2,GUI-FDTrader2-FDAccount-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ,2016.04.25D10:04:40.000000000,tradeID9,new,ISL-OID9,S,101.6,0,2000,,REF_FDTrader3,FDBkr9,FDAccount,,GCBOX,COMM_EXCH,OPT,,,,2016.04.25,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,call,2018.10.25D01:40:32.187858000,,,10,XYZIDTK,,,XYZIDTK,Comdty,BBG_TRADEBOOK-Comdty-OPT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOX,GCBOX,,BBG_TRADEBOOK,,BBG_ETD_MF-InappStopLoss_DL_20160425.csv.gz,,,,,,,,,,2016.01.04,,,,,,,,,FDBkr9,UBS,BBG_TRADEBOOK-FDTrader3,GUI-FDTrader3-FDAccount-XYZ,,,,,,,,,,,,MSG:; orderType:SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
