instrumentID,eventTimestamp,orderID,orderType,eventType,side,price,stopPrice,lastPrice,quantity,leavesQuantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,parentOrderID,parentChildIndicator,timeInForce,orderCapacity,internalTimestamp,sendingTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,yield,qtyType,totalQty,minQty,secondaryDisplayQty,lastQty,ccy,ccyKey,val,displayMethod,execID,execType,eventType2,execRestatementReason,venueKey,venueSegment,venueType,orderPlatform,orderPlatformKey,sourceConnection,origOrderID,clOrdID,origClOrdID,quoteID,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntity,legalEntityKey,salesID,salesIDKey,userIDKey,counterParty,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,orderInstructions,expireDateTime,valueDate,peggedPrice,pegOffsetValue,pegInstruction,flag,validationKey,possDupFlag,userId,priceType,upstreamFileName,recordID,tenor,aggressorFlag,icebergFlag,upstreamRCAID,wtbFlag,midPD,loopFlag,localIOCFlag,tradeDate,pdFlag
USM6,2015.05.22D00:00:00.945000000,PHISH_4,LMT,new,S,165.875,0,,85300,85300,,REF_FDTest1,1,FDAccount4,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:19.977640000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,85300,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing1_DL_20150522.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest1,GUI-FDTest1-FDAccount4-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999017; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.22D09:30:29.002000000,PHISH_1,LMT,new,B,165.875,0,,93800,93800,,REF_FDTest1,1,FDAccount4,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:19.977640000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,93800,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing1_DL_20150522.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest1,GUI-FDTest1-FDAccount4-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999014; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.22D10:15:04.051000000,PHISH_2,LMT,new,B,165.875,0,,82500,82500,,REF_FDTest1,1,FDAccount6,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:19.977640000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,82500,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing1_DL_20150522.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest1,GUI-FDTest1-FDAccount6-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999015; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.22D11:44:54.246000000,PHISH_3,LMT,new,B,165.875,0,,22100,22100,,REF_FDTest1,1,FDAccount3,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:19.977640000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,22100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing1_DL_20150522.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest1,GUI-FDTest1-FDAccount3-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999016; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.22D15:31:24.072000000,PHISH_5,LMT,new,S,165.875,0,,51600,51600,,REF_FDTest1,1,FDAccount5,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:19.977640000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,51600,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing1_DL_20150522.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest1,GUI-FDTest1-FDAccount5-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999018; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.25D09:18:43.676000000,PHISH_6,LMT,new,B,165.875,0,,73700,73700,,REF_FDTest1,1,FDAccount2,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:32.105928000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,73700,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing2_DL_20150525.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest1,GUI-FDTest1-FDAccount2-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999019; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.25D10:52:19.721000000,PHISH_7,LMT,new,B,165.875,0,,700,700,,REF_FDTest1,1,FDAccount2,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:32.105928000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,700,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing2_DL_20150525.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest1,GUI-FDTest1-FDAccount2-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999020; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.25D11:40:36.899000000,PHISH_8,LMT,new,S,165.875,0,,24200,24200,,REF_FDTest2,1,FDAccount1,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:32.105928000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,24200,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing2_DL_20150525.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest2,GUI-FDTest2-FDAccount1-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999021; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.25D12:42:33.597000000,PHISH_9,LMT,new,S,165.875,0,,65100,65100,,REF_FDTest2,1,FDAccount2,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:32.105928000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,65100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing2_DL_20150525.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest2,GUI-FDTest2-FDAccount2-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999022; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.25D13:16:57.910000000,PHISH_10,LMT,new,B,165.875,0,,8500,8500,,REF_FDTest2,1,FDAccount4,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:32.105928000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,8500,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing2_DL_20150525.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest2,GUI-FDTest2-FDAccount4-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999023; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
USM6,2015.05.25D13:54:19.832000000,PHISH_11,LMT,new,S,165.875,0,,96200,96200,,REF_FDTest2,1,FDAccount6,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.02,BBG_TRADEBOOK,5775010,,GFD,agency,2018.10.25D01:46:32.105928000,,,FG666666,,,FG666666,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,96200,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,GCBOT,GCBOT,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_MF-Phishing2_DL_20150525.csv.gz,3980/20160407/5775010/2,843386990092 ZBM6,,,1,UBS,BBG_TRADEBOOK-FDTest2,GUI-FDTest2-FDAccount6-USM6,10540,,,,,,,,,,,MSG:OrderId: 84869999024; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
