instrumentID,eventTimestamp,executionID,eventType,orderID,side,price,strikePrice,quantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,tradeSystem,settlementDate,counterparty,underlyingInstrumentID,orderPlatform,tradePlatform,legalEntity,optionCallPut,internalTimestamp,sendingTime,tradeTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,multiLegReportingType,parentStrategyType,priceType,markup,markupRateToBase,val,qtyType,ccy,ccyKey,qty1,ccy1,ccy1Key,qty2,ccy2,ccy2Key,feeCcy,transStatus,reversalIndicator,internalTrade,matchType,trdType,crossType,secondaryTrdType,aggressorIndicator,venueKey,venueSegment,venueType,orderPlatformKey,tradingPlatformInstance,sourceConnection,tradeIDversion,secondaryTradeID,origTradeID,structureID,tradeLinkID,sourceTradeID,sourceTradeLinkID,platformTradeID,platformTradeLinkID,tradeDate,tradeInputDate,valueDate,settlType,settlMethod,quoteID,olink,qlink,udflink,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntityKey,salesID,salesIDKey,userIDKey,revUserID,revUserIDKey,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,payFrequency,receiveFrequency,payRollConvention,receiveRollConvention,payProjectionCurve,receiveProjectionCurve,payDiscountCurve,receiveDiscountCurve,payCalendar,receiveCalendar,payDayCountConvention,receiveDayCountConvention,couponRate,payCouponType,receiveCouponType,payType,calendarType,rateCode,rate,deliveryIndex,closingIndexValue,optionCallPut,optPayout,optPayoutType,capPrice,floorPrice,strikeMultiplier,strikePriceBoundaryMethod,complexEventType,complexEventPrice,complexEventCondition,complexOptPayoutAmount,complexEventStartDate,complexEventEndDate,quality,publicationIndicator,flag,validationKey,possDupFlag,origTransType,lastOperationSubType,underlyingKey,refObligation
HOR_sym,2015.04.21D12:32:50.003000000,3980/20160407/5775010/4,new,BTM20160407/4444444,B,172.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
HOR_sym,2015.04.21D12:32:50.003000000,3980/20160407/5775010/4,new,BTM20160407/4444444,B,178.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
HOR_sym,2015.04.21D12:32:52.003000000,3980/20160407/5775010/4,new,BTM20160407/4444444,B,174.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
HOR_sym,2015.04.21D12:32:52.003000000,3980/20160407/5775010/4,new,BTM20160407/4444444,B,183.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
HOR_sym,2015.04.21D12:32:54.003000000,3980/20160407/5775010/4,new,BTM20160407/4444444,B,176.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
HOR_sym,2015.04.21D12:32:54.003000000,3980/20160407/5775010/4,new,BTM20160407/4444444,B,187.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
HOR_sym,2015.04.21D12:32:56.003000000,3980/20160407/5775010/4,new,BTM20160407/4444444,B,196.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
HOR_sym,2015.04.21D12:32:58.003000000,3980/20160407/5775010/4,new,BTM20160407/4444444,B,208.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-HOR_sym,,,,,,,,,,,,MSG:OrderId: 84338699990134528; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
USM6,2015.04.21D10:30:50.003000000,3980/20160407/5775010/4,new,BTM20160407/1111111,B,150.4,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-USM6,,,,,,,,,,,,MSG:OrderId: 84338699990134526; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
USM6,2015.04.21D10:30:52.003000000,3980/20160407/5775010/4,new,BTM20160407/1111111,B,152.3,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-USM6,,,,,,,,,,,,MSG:OrderId: 84338699990134526; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
USM6,2015.04.21D10:30:54.003000000,3980/20160407/5775010/4,new,BTM20160407/1111111,B,154.3,0,100,,REF_FDTRADER2,1,12AB12,,GCBOT,COMM_EXCH,REF_BBG_PROD2,,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,,2018.10.25D01:39:54.762092000,,,1,TKAA27170432-0,,,TKAA27170432-0,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,GCBOT,GCBOT,,BBG_TRADEBOOK,,BBG_ETD_MF-BreakingTheMarket_DL_20150421.csv.gz,,,,,,,,,,2016.01.20,,,,,,,,,1,UBS,BBG_TRADEBOOK-FDTRADER2,GUI-FDTRADER2-12AB12-USM6,,,,,,,,,,,,MSG:OrderId: 84338699990134526; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
